Date,Currency,Rate
2023-11-29,AUD,1.6586
2023-11-29,BGN,1.9558
2023-11-29,BRL,5.3785
2023-11-29,CAD,1.492
2023-11-29,CHF,0.9628
2023-11-29,CNY,7.8296
2023-11-29,CZK,24.26
2023-11-29,DKK,7.4565
2023-11-29,GBP,0.86525
2023-11-29,HKD,8.5711
2023-11-29,HUF,377.38
2023-11-29,IDR,16960
2023-11-29,ILS,4.0365
2023-11-29,INR,91.53
2023-11-29,ISK,150.5
2023-11-29,JPY,162.12
2023-11-29,KRW,1418.07
2023-11-29,MXN,18.8765
2023-11-29,MYR,5.1105
2023-11-29,NOK,11.6965
2023-11-29,NZD,1.7843
2023-11-29,PHP,60.835
2023-11-29,PLN,4.3355
2023-11-29,RON,4.9726
2023-11-29,SEK,11.3655
2023-11-29,SGD,1.4629
2023-11-29,THB,38.228
2023-11-29,TRY,31.763
2023-11-29,USD,1.0985
2023-11-29,ZAR,20.34
2023-11-30,AUD,1.6542
2023-11-30,BGN,1.9558
2023-11-30,BRL,5.3984
2023-11-30,CAD,1.487
2023-11-30,CHF,0.9562
2023-11-30,CNY,7.8008
2023-11-30,CZK,24.292
2023-11-30,DKK,7.4548
2023-11-30,GBP,0.86368
2023-11-30,HKD,8.5384
2023-11-30,HUF,380.75
2023-11-30,IDR,16981
2023-11-30,ILS,4.0597
2023-11-30,INR,91.11
2023-11-30,ISK,150.7
2023-11-30,JPY,161.19
2023-11-30,KRW,1418.78
2023-11-30,MXN,19.0235
2023-11-30,MYR,5.0933
2023-11-30,NOK,11.72
2023-11-30,NZD,1.7762
2023-11-30,PHP,60.623
2023-11-30,PLN,4.349
2023-11-30,RON,4.9718
2023-11-30,SEK,11.4308
2023-11-30,SGD,1.4602
2023-11-30,THB,38.494
2023-11-30,TRY,31.544
2023-11-30,USD,1.0931
2023-11-30,ZAR,20.57
2023-12-01,AUD,1.6448
2023-12-01,BGN,1.9558
2023-12-01,BRL,5.3538
2023-12-01,CAD,1.4736
2023-12-01,CHF,0.953
